" w"; 100
"mp"; 124
"sc"; 138
"el"; 527
"et"; 617
"ed"; 194
"im"; 202
"is"; 1083
"pu"; 151
"no"; 104
"r "; 384
"it"; 684
"fe"; 158
"em"; 249
"pi"; 207
"la"; 536
"re"; 297
" w"; 201
"ri"; 464
"on"; 435
"s "; 1348
"s."; 273
"ss"; 146
"ol"; 208
"er"; 576
"sq"; 137
" N"; 139
"en"; 710
" P"; 133
"gi"; 106
" S"; 113
"ia"; 233
"o "; 159
" a"; 772
"ra"; 329
" c"; 307
" d"; 288
" e"; 788
" f"; 293
"ro"; 135
"or"; 653
" i"; 391
"ne"; 290
" l"; 524
" m"; 473
" n"; 539
" o"; 134
" p"; 374
" q"; 159
" r"; 139
" s"; 579
" t"; 351
" u"; 292
" v"; 548
", "; 763
"ec"; 284
"qu"; 545
"vi"; 202
". "; 979
"eg"; 173
"ib"; 381
"lo"; 157
"in"; 474
"rt"; 168
"ic"; 237
"na"; 274
"lu"; 269
"ma"; 284
"ll"; 484
"pe"; 211
"eu"; 160
"nu"; 120
"i "; 180
"le"; 386
"Nu"; 116
"es"; 497
"li"; 604
"st"; 313
"rc"; 128
"nt"; 474
"po"; 144
"mo"; 149
"id"; 204
"sa"; 176
"l "; 110
"a "; 564
"s,"; 177
"a."; 107
"m."; 123
"ac"; 387
"ni"; 332
"ae"; 180
"ru"; 108
"al"; 192
"am"; 515
"an"; 164
"me"; 305
"ap"; 103
"ar"; 230
"as"; 224
"at"; 469
"au"; 223
"gu"; 155
"ip"; 129
"be"; 101
"n "; 369
"bi"; 135
"se"; 431
"m "; 743
"bu"; 229
"c "; 313
"od"; 143
"ie"; 174
"iq"; 152
"ce"; 185
"ci"; 467
"co"; 312
"ct"; 223
"cu"; 336
"d "; 297
"nc"; 230
"ge"; 173
"da"; 154
"di"; 390
"si"; 243
"nd"; 276
"du"; 225
"e "; 578
